Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
"Malawi","Chilumba","Beans","Retail",2003,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,04,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,05,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,06,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,07,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,08,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,09,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,10,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,11,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2003,12,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,04,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,05,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,06,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,07,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,08,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,09,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,10,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,11,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2004,12,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,04,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,05,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,06,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,07,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,08,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,09,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,10,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,11,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2005,12,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,04,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,05,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,06,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,07,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,08,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,09,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,10,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,11,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2006,12,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,04,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,05,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,06,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,07,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,08,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,09,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,10,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,11,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2007,12,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2008,01,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2008,02,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2008,03,,KG,MWK,""
"Malawi","Chilumba","Beans","Retail",2008,04,,KG,MWK,""
